source,target,type,weight
70,85,Tanimoto,0.7115384615
79,85,Tanimoto,0.7115384615
49,87,Tanimoto,0.72
77,87,Tanimoto,0.8
15,89,Tanimoto,0.7272727273
9,90,Tanimoto,0.96
18,90,Tanimoto,0.96
30,90,Tanimoto,0.76
33,90,Tanimoto,0.8727272727
59,90,Tanimoto,0.96
60,90,Tanimoto,0.8727272727
63,90,Tanimoto,0.7058823529
64,90,Tanimoto,0.96
73,90,Tanimoto,0.8653846154
2,92,Tanimoto,0.8235294118
3,92,Tanimoto,0.7592592593
16,92,Tanimoto,0.8461538462
31,92,Tanimoto,0.7592592593
34,92,Tanimoto,0.7014925373
56,92,Tanimoto,0.8363636364
61,92,Tanimoto,0.8518518519
69,92,Tanimoto,0.8235294118
83,92,Tanimoto,0.8518518519
48,94,Tanimoto,0.7741935484
70,94,Tanimoto,0.8113207547
79,94,Tanimoto,0.7454545455
70,95,Tanimoto,0.7884615385
79,95,Tanimoto,0.7884615385
9,96,Tanimoto,0.7857142857
18,96,Tanimoto,0.7857142857
30,96,Tanimoto,0.7307692308
33,96,Tanimoto,0.7213114754
59,96,Tanimoto,0.7857142857
60,96,Tanimoto,0.7213114754
64,96,Tanimoto,0.7857142857
73,96,Tanimoto,0.7678571429
90,96,Tanimoto,0.8148148148
9,97,Tanimoto,0.7857142857
18,97,Tanimoto,0.7857142857
30,97,Tanimoto,0.7307692308
33,97,Tanimoto,0.7213114754
59,97,Tanimoto,0.7857142857
60,97,Tanimoto,0.7213114754
64,97,Tanimoto,0.7857142857
73,97,Tanimoto,0.7678571429
90,97,Tanimoto,0.8148148148
2,98,Tanimoto,0.875
3,98,Tanimoto,0.8039215686
14,98,Tanimoto,0.7058823529
16,98,Tanimoto,0.8979591837
31,98,Tanimoto,0.8039215686
56,98,Tanimoto,0.8846153846
61,98,Tanimoto,0.9019607843
63,98,Tanimoto,0.7058823529
69,98,Tanimoto,0.875
78,98,Tanimoto,0.7058823529
83,98,Tanimoto,0.9019607843
92,98,Tanimoto,0.9411764706
2,99,Tanimoto,0.7142857143
3,99,Tanimoto,0.8148148148
14,99,Tanimoto,0.7222222222
16,99,Tanimoto,0.8
31,99,Tanimoto,0.8148148148
56,99,Tanimoto,0.8909090909
61,99,Tanimoto,0.9074074074
63,99,Tanimoto,0.7428571429
69,99,Tanimoto,0.7142857143
78,99,Tanimoto,0.7222222222
83,99,Tanimoto,0.9074074074
92,99,Tanimoto,0.7796610169
2,100,Tanimoto,0.7843137255
3,100,Tanimoto,0.7884615385
16,100,Tanimoto,0.9183673469
31,100,Tanimoto,0.7884615385
56,100,Tanimoto,0.8679245283
61,100,Tanimoto,0.8846153846
69,100,Tanimoto,0.7843137255
83,100,Tanimoto,0.8846153846
92,100,Tanimoto,0.9230769231
98,100,Tanimoto,0.9019607843
99,100,Tanimoto,0.8070175439
2,101,Tanimoto,0.8235294118
3,101,Tanimoto,0.862745098
14,101,Tanimoto,0.7647058824
16,101,Tanimoto,0.8461538462
31,101,Tanimoto,0.862745098
34,101,Tanimoto,0.7014925373
61,101,Tanimoto,0.9607843137
63,101,Tanimoto,0.7
66,101,Tanimoto,0.7307692308
69,101,Tanimoto,0.8235294118
78,101,Tanimoto,0.7647058824
83,101,Tanimoto,0.9607843137
92,101,Tanimoto,0.8888888889
98,101,Tanimoto,0.9411764706
99,101,Tanimoto,0.875
100,101,Tanimoto,0.8518518519
2,102,Tanimoto,0.7636363636
3,102,Tanimoto,0.7068965517
16,102,Tanimoto,0.7857142857
31,102,Tanimoto,0.7068965517
56,102,Tanimoto,0.8103448276
61,102,Tanimoto,0.7931034483
69,102,Tanimoto,0.7636363636
83,102,Tanimoto,0.7931034483
92,102,Tanimoto,0.8275862069
98,102,Tanimoto,0.8727272727
99,102,Tanimoto,0.7301587302
100,102,Tanimoto,0.7931034483
101,102,Tanimoto,0.8275862069
2,103,Tanimoto,0.7843137255
3,103,Tanimoto,0.8979591837
14,103,Tanimoto,0.7959183673
16,103,Tanimoto,0.88
31,103,Tanimoto,0.8979591837
34,103,Tanimoto,0.7230769231
56,103,Tanimoto,0.98
61,103,Tanimoto,1
66,103,Tanimoto,0.76
69,103,Tanimoto,0.7843137255
78,103,Tanimoto,0.7959183673
83,103,Tanimoto,1
92,103,Tanimoto,0.8518518519
98,103,Tanimoto,0.9019607843
99,103,Tanimoto,0.9074074074
100,103,Tanimoto,0.8846153846
101,103,Tanimoto,0.9607843137
102,103,Tanimoto,0.7931034483
9,104,Tanimoto,0.9074074074
18,104,Tanimoto,0.8727272727
33,104,Tanimoto,0.8305084746
59,104,Tanimoto,0.9074074074
60,104,Tanimoto,0.8305084746
64,104,Tanimoto,0.9074074074
